Model,Smoothing,Avg Log Prob,Std Log Prob,Min Log Prob,Max Log Prob,Zero Prob Count,Coverage %
Unigram,No Smoothing,-49.51094077958922,32.98372148658911,-281.02029144322097,-6.332175927313476,0,100.0
Unigram,Add-One Smoothing,-49.77042152941308,33.03563317920796,-280.244878132277,-6.714501716614355,0,100.0
Unigram,Add-K Smoothing (k=0.5),-49.60074335942699,32.97547693372001,-280.28650805978276,-6.53853190814322,0,100.0
Unigram,Add Token Type Smoothing,-49.77021806249206,33.03550472891005,-280.2438294572027,-6.714460859143924,0,100.0
Bigram,No Smoothing,-12.891210738416019,8.14618536126305,-74.84241470417228,-3.1772478362556233,285,71.3855421686747
Bigram,Add-One Smoothing,-52.91091326252857,34.0169822344267,-274.5949464677813,-9.159094108410315,0,100.0
Bigram,Add-K Smoothing (k=0.5),-50.64158855997492,32.6416512513651,-260.4332279919645,-8.582667792637334,0,100.0
Bigram,Add Token Type Smoothing,-13.712106286241536,8.919476238013566,-74.20811955002904,-3.0835026198302673,0,100.0
Trigram,No Smoothing,-4.231952352950059,1.5134499134910833,-14.338625253892904,-3.1772478362556233,294,70.48192771084338
Trigram,Add-One Smoothing,-54.59797678235876,34.74778485019545,-277.1768606241073,-9.753391944893465,0,100.0
Trigram,Add-K Smoothing (k=0.5),-52.506629121664325,33.41301180677246,-263.52125033799234,-9.521730844790124,0,100.0
Trigram,Add Token Type Smoothing,-4.173341488616134,1.3404454338590697,-13.988894501260148,-3.0835026198302673,0,100.0
Quadrigram,No Smoothing,-3.3019048235119355,0.29049330660910194,-5.226465858925805,-3.1772478362556233,294,70.48192771084338
Quadrigram,Add-One Smoothing,-54.856523511242635,34.824885624437734,-277.3522299008239,-9.753340369039014,0,100.0
Quadrigram,Add-K Smoothing (k=0.5),-52.81837090384464,33.49236719765996,-263.74165536787075,-9.521627699205528,0,100.0
Quadrigram,Add Token Type Smoothing,-3.3754833858523385,0.29577609310078934,-5.093793920961277,-3.0835026198302673,0,100.0
